hub,agent,host,strong_proofs,weak_proofs,exists_in_hub,confidence,source_file
RealTimeAudioPipeline,FusedAudioPreprocessor,MainPC,none,not-required|in-ledger,false,0.50,/workspace/main_pc_code/config/startup_config.yaml
RealTimeAudioPipeline,StreamingInterruptHandler,MainPC,none,not-required|in-ledger,false,0.50,/workspace/main_pc_code/config/startup_config.yaml
RealTimeAudioPipeline,StreamingLanguageAnalyzer,MainPC,none,not-required|in-ledger,false,0.50,/workspace/main_pc_code/config/startup_config.yaml
RealTimeAudioPipeline,StreamingSpeechRecognition,MainPC,none,not-required|in-ledger,false,0.50,/workspace/main_pc_code/config/startup_config.yaml
AffectiveProcessingCenter,EmotionEngine,MainPC,none,in-ledger,false,0.25,/workspace/main_pc_code/config/startup_config.yaml
AffectiveProcessingCenter,EmpathyAgent,MainPC,none,in-ledger,false,0.25,/workspace/main_pc_code/config/startup_config.yaml
AffectiveProcessingCenter,MoodTrackerAgent,MainPC,none,in-ledger,false,0.25,/workspace/main_pc_code/config/startup_config.yaml
AffectiveProcessingCenter,ToneDetector,MainPC,none,in-ledger,false,0.25,/workspace/main_pc_code/config/startup_config.yaml
AffectiveProcessingCenter,DynamicIdentityAgent,MainPC,none,in-ledger,false,0.25,/workspace/main_pc_code/config/startup_config.yaml
MemoryFusionHub,ActiveLearningMonitor,MainPC,none,in-ledger,false,0.25,/workspace/main_pc_code/config/startup_config.yaml
MemoryFusionHub,LearningOpportunityDetector,MainPC,none,in-ledger,false,0.25,/workspace/main_pc_code/config/startup_config.yaml
UnifiedObservabilityCenter,PredictiveHealthMonitor,MainPC,none,in-ledger,false,0.25,/workspace/main_pc_code/config/startup_config.yaml
